college_name,Review,Keyword,compound,neg,neu,pos,sentiment
IIT Bombay,"I am very happy to join IIT Bombay. It has exceeded my expectations. It provides tremendous opportunities in various fields, from sports to cultural to tech. A lot of care is taken regarding the students' mental health by introducing some bodies which provide student mentors who are none other than your seniors. The junior-senior culture in IIT Bombay is insane. If you need any help, just call any of your seniors.",Overall,0.9053,0.033,0.781,0.185,Positive
IIT Bombay,"Of course, it is IITB, the most demanded Engineering college in the country, so undoubtedly it has brilliant infrastructure, equipment, and facilities. The classes are air-conditioned, and they are absolutely huge in the Main lecture halls where a lot of students attend class. There are facilities of board and projector in the class. Food is somewhat hygienic. Wifi, labs, libraries are absolutely out of the world. Sports center is well maintained too, and there is a healthy competition of sports too.",College Infrastructure,0.8402,0.025,0.847,0.128,Positive
IIT Bombay,"I am currently pursuing B.Tech in Computer Science and Engineering in IITB. I chose it because firstly I have an interest in computers and coding. Secondly, it is the most demanded batch in the whole country. Every JEE qualified student in their first choice in JOSAA gives IITB CSE as the first choice. Yes, the curriculum is updated and includes all the recent development. Yes, the study is more than enough for getting a good job.",Academics,0.8445,0.027,0.832,0.14,Positive
IIT Bombay,"Quality of placements is one of the best in our college considering the brilliant alumni base and the reputation of the college. Almost 92 percent of the students were placed, and the highest salary package offered was 1.8 Cr (international) and it went to the CSE department. The average CTC offered was 20.08 Lakh.",Placements,0.8402,0.0,0.867,0.133,Positive
IIT Bombay,"Each semester costs 1 lakh as tuition fees and around 37k as hostel fee. The money is worth it because the quality of education is quite good and moreover the level of competition is so high that you are bound to study and prove yourself. Moreover, most students are from the middle class and they always have in mind the amount they are paying and are determined to study.",Value for Money,0.7574,0.0,0.897,0.103,Positive
IIT Bombay,"Practically I have never been to college, so can't say my own experience but what seniors said: IIT campus life is one of the best, and the main reason behind that is the group of friends that make each and every moment memorable. It is located in Powai and it is absolutely safe and surely can handle emergencies.",Campus Life,0.9661,0.0,0.741,0.259,Positive
IIT Bombay,"Yes, My College provides all types of necessary infrastructure, facilities, and equipment. Our college provides many facilities like Digital Classrooms, Virtual Attraction through teachers, wireless Fidelity, a well-organized library for students, and so on maintained and managed by the incharge of our college with the best of his knowledge. All the areas in our college are neat and clean, and our college hires many workers to maintain and clean the classrooms, campus, and ground area too.",College Infrastructure,0.9628,0.0,0.766,0.234,Positive
IIT Bombay,"I am studying B.Tech in Computer Science and Engineering. Quality of teaching in our college is very awesome. Yes, our college is updated and includes all the recent developments in the field. Our B.Tech study and many of the training done by me make me ready for a job.",Academics,0.8712,0.0,0.817,0.183,Positive
IIT Bombay,"Many big companies like Tesla, Apple India offer placement of students. There are a large number of students, even 70% to 80%, offered placement every year. They offer a maximum salary of 14,00,000 p.a. Average salary offered to us is 8,00,000 p.a. And our college is also supportive for our Placement.",Placements,0.6124,0.0,0.885,0.115,Positive
IIT Bombay,"College is fully furnished, fully wifi equipped, along with a huge library and a totally modern gymkhana and lush green field. The food is vivid and diverse, and the quality is pretty well for a hostel.",College Infrastructure,0.765,0.0,0.798,0.202,Positive
IIT Bombay,"The curriculum is pretty well updated, and teachers are pretty qualified. Although I think a bit more practical knowledge will be fine. Except that the curriculum is pretty advanced and diverse. It's really relatable and easy to understand.",Academics,0.949,0.0,0.608,0.392,Positive
IIT Bombay,"Superb placements. Almost all the companies come for placement. The placement varies from 8-9 lpa to 98 lpa. And the top recruiting companies are Google, Microsoft, IBM, Goldman Sachs, Jaguar, Tata, Mercedes etc.",Placements,0.7096,0.0,0.84,0.16,Positive
IIT Bombay,"The course costed 2,28,000 per year for 4 years. And it was worth it",Value for Money,0.2263,0.0,0.863,0.137,Positive
IIT Bombay,"College campus is beautiful, and college life is vibrant and full of energy. With a plethora of activities going on at a time",Campus Life,0.8555,0.0,0.657,0.343,Positive
IIT Bombay,"The infrastructure of the college is one of a kind, a rustlung campus with rich flora and fauna setting the environment for studying. Great labs equipped with world-class facilities, and to put a cherry on top excellent sport facilities.",College Infrastructure,0.9485,0.0,0.651,0.349,Positive
IIT Bombay,"Academically, IIT B is the best institute in the country with its rich variety of professors who specialize in every field and have god-level knowledge of their fields. It really makes you more enthusiastic about learning.",Academics,0.9061,0.0,0.739,0.261,Positive
IIT Bombay,"The Placements at IIT-B are astronomical, with >20 LPA as average and even more for CSE and EE, IIT-B boasts to be among India's best college in terms of placements(perhaps even the best)! It's due to this that every penny you spend at IIT-B, you'll get back 10x.",Placements,0.6696,0.0,0.913,0.087,Positive
IIT Bombay,You'll get every penny returned 10x!,Value for Money,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,Great!,Campus Life,0.6588,0.0,0.0,1.0,Positive
IIT Bombay,Astonishing!,Others,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,College infrastructure is outstanding. Every hostel has its own canteen. Separate rooms for each club. Convocation hall is magnificent. Liked the library and ambiance.,College Infrastructure,0.8934,0.0,0.662,0.338,Positive
IIT Bombay,"Teachers are amazing, ready to do more for you. Liked many profs not just for teaching but also for the kind of people they are.",Academics,0.6348,0.0,0.781,0.219,Positive
IIT Bombay,"Placements are quite good but in COVID, the situation is getting worse. It's not easy even for IITians. Need a decent CPI, POR, etc. Interviews and aptitude tests are rigorous.",Placements,-0.8322,0.268,0.676,0.057,Negative
IIT Bombay,Infrastructure is outstanding. Well-equipped with necessary and luxurious things. Classrooms have centralized air conditioning and good wifi. Neat and clean campus with well-maintained parks and sports areas.,College Infrastructure,0.9118,0.0,0.646,0.354,Positive
IIT Bombay,Bioengineering and bioscience student. Professors are very good. Academics are well taken care of.,Academics,0.8173,0.0,0.564,0.436,Positive
IIT Bombay,Placements are excellent. High-rank companies come. Average and highest salary packages are good. Placement training provided.,Placements,0.765,0.0,0.68,0.32,Positive
IIT Bombay,"Costs almost 1 lakh per year, including academic and hostel fees. Worth spending for the facilities.",Value for Money,0.2263,0.0,0.881,0.119,Positive
IIT Bombay,"Campus life is beautiful and full of joy. Many activities, fests, DJ nights, parties, workshops, and clubs. Hostel activities make campus life lit.",Campus Life,0.886,0.0,0.658,0.342,Positive
IIT Bombay,Dream opportunity to study in the best university. Great experience.,Others,0.9201,0.0,0.314,0.686,Positive
IIT Bombay,Chemical Engineering curriculum is one of the best in India. Emphasis on both industries and pure science. World-class lab facilities.,Academics,0.6369,0.0,0.819,0.181,Positive
IIT Bombay,Diverse curriculum focusing on both research and industrial topics. From basics to industrial subjects like chemical reaction engineering.,Academics,0.3612,0.0,0.872,0.128,Positive
IIT Bombay,"Placements are good. Companies like HIL, Dr. Reddy offer decent packages. Finance and marketing companies also hire.",Placements,0.6597,0.0,0.735,0.265,Positive
IIT Bombay,1.5 lakhs per semester. Plenty of opportunities for students.,Value for Money,0.3818,0.0,0.755,0.245,Positive
IIT Bombay,"Best facilities for education and research. High-end laboratories, 24*7 wifi, top-class library, and sports infrastructure. Clean living space and quality food.",College Infrastructure,0.7845,0.0,0.734,0.266,Positive
IIT Bombay,Second-year BTech Civil Engineering student. Best professors. Updated technical curriculum. Placements and internships from top companies.,Academics,0.7184,0.0,0.7,0.3,Positive
IIT Bombay,Highest salary offered Rs 1.6 crores per annum. Average salary Rs 18 LPA. Worth the money for infrastructures. Excellent campus life with many opportunities.,Placements,0.802,0.0,0.719,0.281,Positive
IIT Bombay,"Annual cost about 3 LPA. Scholarships available. In COVID, cost about 2 LPA without scholarships.",Value for Money,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,Campus life is the main reason I chose IITB. Many opportunities to explore and events. Highly recommend for technical education.,Campus Life,0.659,0.0,0.759,0.241,Positive
IIT Bombay,Highly recommend IITB for all students searching for technical institutes. The best!,Others,0.8066,0.0,0.579,0.421,Positive
IIT Bombay,"The campus life is quite dull, lacking excitement and vibrancy. Not many engaging activities or events.",Campus Life,-0.1444,0.234,0.605,0.161,Negative
IIT Bombay,"Considering the high fees, the value for money is questionable. Facilities are good, but the cost is too high.",Value for Money,0.2617,0.075,0.753,0.172,Positive
IIT Bombay,"Placements are not as rosy as portrayed. The competition is intense, and not everyone gets their dream job.",Placements,0.3182,0.0,0.829,0.171,Positive
IIT Bombay,"The academic curriculum is rigorous, but some professors lack effective teaching methods. It can be challenging for students to grasp concepts.",Academics,0.3716,0.163,0.617,0.22,Positive
IIT Bombay,"The college infrastructure is aging, especially the hostels. Cleanliness is maintained, but renovations are overdue.",College Infrastructure,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,Limited extracurricular opportunities. Not enough clubs or activities for students with diverse interests.,Campus Life,0.4019,0.115,0.606,0.279,Positive
IIT Bombay,"The fees are exorbitant, and the facilities, while good, may not justify the high cost of education.",Value for Money,0.4404,0.0,0.847,0.153,Positive
IIT Bombay,"Placements are hit or miss. Some students struggle to secure decent offers, and the process is highly stressful.",Placements,-0.624,0.314,0.586,0.1,Negative
IIT Bombay,"Certain academic courses lack practical relevance, making it difficult for students to apply theoretical knowledge.",Academics,-0.4019,0.254,0.635,0.111,Negative
IIT Bombay,"While the campus has necessary facilities, the infrastructure needs modernization. Aging buildings impact the overall appeal.",College Infrastructure,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,Limited social events and gatherings. The campus lacks a lively atmosphere for students to socialize.,Campus Life,0.25,0.113,0.714,0.173,Positive
IIT Bombay,"Questionable ROI for the tuition fees. The facilities are good, but the overall educational experience may not match the cost.",Value for Money,0.09,0.074,0.835,0.09,Positive
IIT Bombay,Placements are hyped. Many students face challenges in securing internships and job offers.,Placements,0.3818,0.0,0.753,0.247,Positive
IIT Bombay,"Inconsistent teaching quality. Some professors excel, while others struggle to engage students effectively.",Academics,0.7184,0.117,0.459,0.423,Positive
IIT Bombay,"The college infrastructure, especially hostel conditions, is not up to the mark. Renovations are overdue.",College Infrastructure,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,Limited sports and recreational facilities. The campus lacks a variety of options for physical activities.,Campus Life,-0.2263,0.128,0.872,0.0,Negative
IIT Bombay,"High tuition fees with no clear justification. The facilities, while good, may not be worth the steep cost.",Value for Money,0.3887,0.165,0.599,0.235,Positive
IIT Bombay,"Placements are a stressful process. Not everyone lands their desired job, and the competition is tough.",Placements,-0.4019,0.254,0.635,0.111,Negative
IIT Bombay,"Certain academic courses lack practical applications, making it challenging for students to see real-world relevance.",Academics,0.1027,0.128,0.667,0.206,Positive
IIT Bombay,"The college infrastructure, particularly the hostels, needs significant improvements. Cleanliness alone isn't enough.",College Infrastructure,0.2732,0.124,0.621,0.255,Positive
IIT Bombay,Social life is lacking. Limited events and gatherings make it challenging for students to build a vibrant community.,Campus Life,0.4767,0.091,0.67,0.239,Positive
IIT Bombay,The high tuition fees are not justified by the facilities provided. The overall value for money is questionable.,Value for Money,-0.2635,0.204,0.686,0.11,Negative
IIT Bombay,"Placements are a mixed bag. While some students secure excellent offers, others struggle to find suitable opportunities.",Placements,0.7506,0.1,0.522,0.378,Positive
IIT Bombay,"Inconsistent teaching quality. Some professors excel, while others fail to deliver engaging lectures.",Academics,0.2263,0.185,0.529,0.286,Positive
IIT Bombay,"The college infrastructure, especially hostel conditions, is not up to the mark. Overcrowded and outdated facilities.",College Infrastructure,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,Limited cultural and artistic events. The campus lacks a diverse range of activities for students interested in the arts.,Campus Life,0.2023,0.092,0.777,0.131,Positive
IIT Bombay,The high tuition fees are not justified by the facilities provided. The overall value for money is questionable.,Value for Money,-0.2635,0.204,0.686,0.11,Negative
IIT Bombay,"Placements are a mixed bag. While some students secure excellent offers, others struggle to find suitable opportunities.",Placements,0.7506,0.1,0.522,0.378,Positive
IIT Bombay,"Inconsistent teaching quality. Some professors excel, while others fail to deliver engaging lectures.",Academics,0.2263,0.185,0.529,0.286,Positive
IIT Bombay,"The college infrastructure, especially hostel conditions, is not up to the mark. Overcrowded and outdated facilities.",College Infrastructure,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,Limited cultural and artistic events. The campus lacks a diverse range of activities for students interested in the arts.,Campus Life,0.2023,0.092,0.777,0.131,Positive
IIT Bombay,The high tuition fees are not justified by the facilities provided. The overall value for money is questionable.,Value for Money,-0.2635,0.204,0.686,0.11,Negative
IIT Bombay,"Placements are a mixed bag. While some students secure excellent offers, others struggle to find suitable opportunities.",Placements,0.7506,0.1,0.522,0.378,Positive
IIT Bombay,"Inconsistent teaching quality. Some professors excel, while others fail to deliver engaging lectures.",Academics,0.2263,0.185,0.529,0.286,Positive
IIT Bombay,"The college infrastructure, especially hostel conditions, is not up to the mark. Overcrowded and outdated facilities.",College Infrastructure,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,Limited cultural and artistic events. The campus lacks a diverse range of activities for students interested in the arts.,Campus Life,0.2023,0.092,0.777,0.131,Positive
IIT Bombay,The faculty is very supportive and knowledgeable. The infrastructure is top-notch.,Positive,0.3597,0.0,0.8,0.2,Positive
IIT Bombay,The curriculum is well-designed and prepares students for real-world challenges.,Positive,0.0772,0.0,0.874,0.126,Positive
IIT Bombay,The campus is beautiful and has all the necessary amenities.,Positive,0.5994,0.0,0.698,0.302,Positive
IIT Bombay,The placement cell is very active and helps students secure good jobs.,Positive,0.8795,0.0,0.418,0.582,Positive
IIT Bombay,The course material is updated and relevant to current industry trends.,Positive,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,The student community is diverse and inclusive.,Positive,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,The teaching methods are innovative and engaging.,Positive,0.6486,0.0,0.485,0.515,Positive
IIT Bombay,The college has a strong reputation in the industry.,Positive,0.5106,0.0,0.68,0.32,Positive
IIT Bombay,The admission process is transparent and fair.,Neutral,0.3182,0.0,0.723,0.277,Positive
IIT Bombay,The fee structure is reasonable compared to other colleges.,Neutral,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,The college is located in a peaceful area conducive to learning.,Neutral,0.4939,0.0,0.738,0.262,Positive
IIT Bombay,The administration is responsive to student feedback.,Neutral,0.3612,0.0,0.706,0.294,Positive
IIT Bombay,The college offers various extracurricular activities.,Neutral,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,The hostel facilities are decent and affordable.,Neutral,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,The mess food is average and could be improved.,Negative,0.1531,0.198,0.556,0.246,Positive
IIT Bombay,The attendance policy is strict and enforced.,Negative,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,The workload is heavy especially during exams.,Negative,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,The college should offer more scholarships to students.,Negative,0.0,0.0,1.0,0.0,Neutral
IIT Bombay,The public transportation options near the college are limited.,Negative,-0.2263,0.192,0.808,0.0,Negative
IIT Bombay,The infrastructure of the campus is top-notch with state-of-the-art facilities and well-maintained buildings. The faculty is highly qualified and knowledgeable in their respective fields.,Positive,0.4215,0.0,0.891,0.109,Positive
IIT Bombay,The academic curriculum is rigorous and challenging but rewarding for those who put in the effort. The research opportunities available to students are vast and diverse.,Positive,0.8294,0.047,0.67,0.283,Positive
IIT Bombay,"The hostel accommodations are comfortable and clean with a supportive community of students. The mess food could be improved, however.",Neutral,0.8316,0.09,0.504,0.406,Positive
IIT Bombay,The location of the institute is conveniently located near Powai Lake providing a serene environment that fosters learning. The student body is diverse and inclusive.,Positive,0.4588,0.0,0.885,0.115,Positive
IIT Bombay,The coursework is engaging and thought-provoking with a focus on practical applications. The guest lectures and workshops organized by the institute are enriching and informative.,Positive,0.34,0.0,0.906,0.094,Positive
IIT Bombay,Although the academic workload can be demanding at times the resources provided by the institute help to manage stress effectively. The counseling services are helpful and confidential.,Neutral,0.5719,0.134,0.627,0.239,Positive
IIT Bombay,The placement cell works tirelessly to ensure successful job placements for graduating students. The alumni network is strong and supportive.,Positive,0.8979,0.0,0.573,0.427,Positive
IIT Bombay,The extracurricular activities and clubs offer a great way to explore interests outside of academics. The sports facilities are modern and well-equipped.,Positive,0.7269,0.0,0.757,0.243,Positive
IIT Bombay,Some courses have outdated syllabi which can make it difficult for students to keep up with industry trends. However the overall quality of education is still high.,Neutral,-0.3612,0.088,0.912,0.0,Negative
IIT Bombay,"Despite being one of the premier institutes in India, there is room for improvement in terms of international collaborations and global recognition.",Negative,0.4588,0.0,0.875,0.125,Positive
IIT Bombay,"The college infrastructure is a chaotic maze of outdated buildings and confusing pathways, making it nearly impossible to navigate.",Negative,-0.6249,0.242,0.758,0.0,Negative
IIT Bombay,"The facilities are nothing short of a disappointment, with worn-out classrooms and facilities that seem to have been neglected for decades.",Negative,-0.1774,0.141,0.747,0.112,Negative
IIT Bombay,"The college's infrastructure is a testament to inefficiency, with cramped spaces, malfunctioning equipment, and an overall lack of investment in creating a conducive learning environment.",Negative,-0.0258,0.09,0.824,0.086,Neutral
COEP,The college has a good infrastructure and faculty. The placements are also good.,Positive,0.7003,0.0,0.633,0.367,Positive
COEP,The college is very strict about attendance and discipline. This can be a bit of a problem for some students.,Negative,-0.4019,0.137,0.863,0.0,Negative
COEP,The college has a lot of extracurricular activities. This is a great way to get involved in the campus community.,Positive,0.6249,0.0,0.806,0.194,Positive
COEP,The college is located in a good area of Pune. This makes it easy to get to and from campus.,Positive,0.7003,0.0,0.746,0.254,Positive
COEP,The college is not very well-known outside of Pune. This can make it difficult to get a job after graduation.,Negative,-0.3612,0.122,0.878,0.0,Negative
COEP,The college is very expensive. This can be a problem for some students.,Negative,-0.4019,0.197,0.803,0.0,Negative
COEP,"The college has a lot of diversity. This is a great thing, as it exposes students to different cultures and perspectives.",Positive,0.5574,0.066,0.752,0.181,Positive
COEP,"The college is very competitive. This can be a problem for some students, as it can be difficult to keep up with the coursework.",Negative,-0.4951,0.191,0.735,0.073,Negative
COEP,The college has a strong alumni network. This can be a great resource for students after graduation.,Positive,0.8126,0.0,0.637,0.363,Positive
COEP,"The college is very committed to sustainability. This is a great thing, as it is important to protect the environment.",Positive,0.8718,0.0,0.579,0.421,Positive
COEP,The college has a great academic reputation. The faculty is very knowledgeable and experienced.,Positive,0.6249,0.0,0.745,0.255,Positive
COEP,The college has a beautiful campus. The buildings are well-maintained and the grounds are very clean.,Positive,0.7841,0.0,0.653,0.347,Positive
COEP,The college is very student-centered. The administration is always willing to listen to students' concerns and help them succeed.,Positive,0.7096,0.0,0.742,0.258,Positive
COEP,The college has a strong sense of community. Students feel like they belong and are supported by their peers and the faculty.,Positive,0.7964,0.0,0.69,0.31,Positive
COEP,The college is very affordable. The tuition is reasonable and there are a number of scholarships and financial aid opportunities available.,Positive,0.4404,0.0,0.822,0.178,Positive
COEP,The college is located in a safe neighborhood. This gives students peace of mind and allows them to focus on their studies.,Positive,0.7506,0.0,0.748,0.252,Positive
COEP,The college has a variety of academic programs to choose from. Students can find a program that fits their interests and career goals.,Positive,0.25,0.0,0.909,0.091,Positive
COEP,The college offers a number of research opportunities. Students can get involved in cutting-edge research and gain valuable experience.,Positive,0.8555,0.0,0.574,0.426,Positive
COEP,The college has a strong internship program. Students can gain valuable work experience and make connections with potential employers.,Positive,0.8689,0.0,0.605,0.395,Positive
COEP,The college has a great career services department. The staff is very helpful and can help students with everything from resume writing to job interviewing.,Positive,0.8718,0.0,0.68,0.32,Positive
COEP,"The college has a beautiful library. The library has a wide selection of books and resources, as well as a number of study spaces.",Positive,0.743,0.0,0.711,0.289,Positive
COEP,The college has a variety of student clubs and organizations. Students can get involved in activities that interest them and make new friends.,Positive,0.7269,0.0,0.766,0.234,Positive
COEP,The college has a strong athletic program. The teams compete in a number of different sports and have a winning tradition.,Positive,0.7906,0.0,0.652,0.348,Positive
COEP,"The college has a beautiful recreation center. The recreation center has a variety of fitness facilities, as well as a pool and a gym.",Positive,0.7964,0.0,0.677,0.323,Positive
COEP,The college has a great dining hall. The dining hall serves a variety of healthy and delicious food options.,Positive,0.8885,0.0,0.571,0.429,Positive
COEP,The college has a number of green initiatives. The college is committed to sustainability and reducing its environmental impact.,Positive,0.34,0.0,0.825,0.175,Positive
COEP,"The college is very diverse. Students from all over the world attend COEP, and this creates a rich and vibrant learning environment.",Positive,0.8546,0.0,0.658,0.342,Positive
COEP,The college is very welcoming. Students feel like they belong at COEP from the moment they arrive.,Positive,0.6901,0.0,0.725,0.275,Positive
COEP,"The college has a strong placement record, with over 90% of students getting placed in top companies every year.",Positive,0.6249,0.0,0.758,0.242,Positive
COEP,"The college provides excellent placement preparation, with workshops, mock interviews, and career counseling.",Positive,0.2263,0.16,0.629,0.211,Positive
COEP,The college has a dedicated placement cell that works closely with companies to recruit students.,Positive,0.4588,0.0,0.812,0.188,Positive
COEP,"The college's location in Pune, a major IT hub, gives students an advantage in the placement process.",Positive,0.25,0.0,0.882,0.118,Positive
COEP,The college's alumni network is strong and helps students connect with potential employers.,Positive,0.7096,0.0,0.651,0.349,Positive
COEP,The college has a well-maintained campus with modern facilities.,Positive,0.0,0.0,1.0,0.0,Neutral
COEP,"The college has spacious classrooms, well-equipped labs, and a well-stocked library.",Positive,0.0,0.0,1.0,0.0,Neutral
COEP,"The college has a variety of recreational facilities, including sports fields, a gym, and a swimming pool.",Positive,0.0,0.0,1.0,0.0,Neutral
COEP,The college has a clean and hygienic campus.,Positive,0.4019,0.0,0.69,0.31,Positive
COEP,The college has a well-connected transportation network.,Positive,0.0,0.0,1.0,0.0,Neutral
COEP,"The college has an excellent placement record, with over 90% of students getting placed in top companies every year.",Positive_Placement,0.6705,0.0,0.756,0.244,Positive
COEP,"The college provides comprehensive placement preparation, including workshops, mock interviews, and career counseling.",Positive_Placement,-0.2023,0.177,0.696,0.127,Negative
COEP,The college has a dedicated placement cell that actively works with companies to recruit students.,Positive_Placement,0.6486,0.0,0.694,0.306,Positive
COEP,"The college's location in Pune, a major IT hub, gives students an advantage in the placement process.",Positive_Placement,0.25,0.0,0.882,0.118,Positive
COEP,The college's strong alumni network helps students connect with potential employers.,Positive_Placement,0.7096,0.0,0.604,0.396,Positive
COEP,The college could improve its placement preparation for non-technical branches.,Neutral_Placement,0.4404,0.0,0.756,0.244,Positive
COEP,The college could expand its placement reach to include more international companies.,Neutral_Placement,0.34,0.0,0.746,0.254,Positive
COEP,The college could provide more personalized placement guidance to students.,Neutral_Placement,0.0,0.0,1.0,0.0,Neutral
COEP,The college could increase the average salary package for placements.,Neutral_Placement,0.3182,0.0,0.796,0.204,Positive
COEP,The college could provide more opportunities for internships and placements in emerging industries.,Neutral_Placement,0.4391,0.0,0.806,0.194,Positive
COEP,The college has a well-maintained campus with modern facilities.,Positive_Infrastructure,0.0,0.0,1.0,0.0,Neutral
COEP,"The college has spacious classrooms, well-equipped labs, and a well-stocked library.",Positive_Infrastructure,0.0,0.0,1.0,0.0,Neutral
COEP,"The college has a variety of recreational facilities, including sports fields, a gym, and a swimming pool.",Positive_Infrastructure,0.0,0.0,1.0,0.0,Neutral
COEP,The college has a clean and hygienic campus.,Positive_Infrastructure,0.4019,0.0,0.69,0.31,Positive
COEP,The college has a well-connected transportation network.,Positive_Infrastructure,0.0,0.0,1.0,0.0,Neutral
COEP,The college could improve the maintenance of its hostel facilities.,Neutral_Infrastructure,0.4404,0.0,0.756,0.244,Positive
COEP,The college could expand its library resources to include more digital content.,Neutral_Infrastructure,0.3182,0.0,0.827,0.173,Positive
COEP,The college could provide more modern computing facilities in its labs.,Neutral_Infrastructure,0.0,0.0,1.0,0.0,Neutral
COEP,The college could improve the accessibility of its facilities for students with disabilities.,Neutral_Infrastructure,0.4404,0.0,0.805,0.195,Positive
COEP,The college could provide more green spaces and eco-friendly initiatives on campus.,Neutral_Infrastructure,0.0,0.0,1.0,0.0,Neutral
COEP,The college has experienced and qualified faculty.,Positive_Faculty_Course_Curriculum,0.0,0.0,1.0,0.0,Neutral
COEP,The college's faculty is dedicated to teaching and student success.,Positive_Faculty_Course_Curriculum,0.7717,0.0,0.544,0.456,Positive
COEP,The college's course curriculum is well-structured and up-to-date.,Positive_Faculty_Course_Curriculum,0.0,0.0,1.0,0.0,Neutral
COEP,The college's course curriculum provides a strong foundation for students' careers.,Positive_Faculty_Course_Curriculum,0.5106,0.0,0.732,0.268,Positive
COEP,The college offers a variety of elective courses to allow students to explore their interests.,Positive_Faculty_Course_Curriculum,0.4404,0.0,0.755,0.245,Positive
COEP,The college could improve the communication and interaction between faculty and students.,Neutral_Faculty_Course_Curriculum,0.4404,0.0,0.791,0.209,Positive
COEP,The college could provide more opportunities for faculty development and training.,Neutral_Faculty_Course_Curriculum,0.4391,0.0,0.776,0.224,Positive
COEP,The college could incorporate more hands-on and experiential learning into the curriculum.,Neutral_Faculty_Course_Curriculum,0.0,0.0,1.0,0.0,Neutral
COEP,The college could update its course curriculum to reflect the latest industry trends.,Neutral_Faculty_Course_Curriculum,0.0,0.0,1.0,0.0,Neutral
COEP,The college could provide more opportunities for interdisciplinary study and research.,Neutral_Faculty_Course_Curriculum,0.4391,0.0,0.776,0.224,Positive
COEP,The college has a diverse and vibrant student population.,Positive_Crowd_Campus_Life,0.5267,0.0,0.673,0.327,Positive
COEP,The college has a variety of student clubs and organizations.,Positive_Crowd_Campus_Life,0.0,0.0,1.0,0.0,Neutral
COEP,The college has a number of cultural festivals and events.,Positive_Crowd_Campus_Life,0.4215,0.0,0.648,0.352,Positive
COEP,The college has a strong sense of community.,Positive_Crowd_Campus_Life,0.5106,0.0,0.645,0.355,Positive
COEP,The college provides a safe and supportive environment for students.,Positive_Crowd_Campus_Life,0.6249,0.0,0.579,0.421,Positive
COEP,The college could improve its student counseling and support services.,Neutral_Crowd_Campus_Life,0.6808,0.0,0.588,0.412,Positive
COEP,The college could promote more inclusivity and diversity among its student body.,Neutral_Crowd_Campus_Life,0.3818,0.0,0.809,0.191,Positive
COEP,The college could expand its recreational and leisure facilities for students.,Neutral_Crowd_Campus_Life,0.3182,0.0,0.813,0.187,Positive
COEP,The college could improve the engagement of its student body in campus governance.,Neutral_Crowd_Campus_Life,0.7096,0.0,0.651,0.349,Positive
